Der kommt jemand|Ktoś idzie|Someone's coming
Bist du Glücklich?|Czy ty jestesz szczęśliwy,radosny|Are you happy,lucky?
Fragst du immer so viel|Czy zawsze zadajesz tak wiele pytań?|You always ask this much?
Du fragst immer so viel|Zawsze zadajesz tak wiele pytań?|You always ask so many questions
Arbeitest du viel?|Czy ty dużo pracujesz?|Are you work a lot?
Du arbeitest viel|Ty dużo pracujesz|You work a lot
Was heist mm, ja oder nein?|co to znaczy mm, tak albo nie?|what does it mean mm, yes or no?
Wie lange blieben Sie?|Jak długo zostałeś?|How long are you staying?
Wie teuer ist das zimmer?|Ile kosztuje ten pokój?|How expencive is this room?
Zwie oder drei tage|Dwa lub trzy dni|Two or three days
Zimmer zehn ist noch frei|Pokój nr 10 jest nadal dostępny|Room 10 is still free
Ihr Schlüssel|Pana (Pani) klucz|Your key
